SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
1000,12.5,20.4545,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,43.1818,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,65.9091,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,110.227,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,179.545,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,225,4.01,2.33,207.2,5,5,-0.412143172
1000,12.5,5.68182,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,11.3636,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,21.5909,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,44.3182,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,67.0455,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,112.5,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,180.682,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,226.136,4.01,2.33,207.2,45,5,-0.5986684
1000,12.5,5.12821,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,10.2564,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,19.8718,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,41.0256,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,64.1026,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,110.256,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,178.205,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,223.718,4.01,2.33,207.2,25,5,-0.317223354
1000,12.5,3.40909,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,9.09091,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,19.3182,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,40.9091,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,62.5,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,106.818,4.01,2.33,207.2,5,5,-0.079297653
1000,12.5,175,4.01,2.33,207.2,5,5,-0.079297653
